,team1.id,team2.id,team1.overall_win_ratio,team1.overall_draw_ratio,team1.overall_loss_ratio,team1.h2h_win_ratio,team1.h2h_draw_ratio,team1.h2h_loss_ratio,team2.overall_draw_ratio,team2.overall_loss_ratio,team2.h2h_win_ratio,team2.h2h_draw_ratio,team2.h2h_loss_ratio
14,2889,2890,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,0.0,0.5,0.0,0.8333333333333334,0.5,0.0,0.16666666666666666
15,1856,2155,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0
16,1171,1167,0.0,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
17,170,1169,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.0,0.5,0.3333333333333333,0.16666666666666666
18,2972,2976,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.16666666666666666
19,1063,4101,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
20,1840,2110,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333
21,7278,1313,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.5,0.0,0.0,0.16666666666666666
22,667,7911,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
23,5707,5700,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666
24,5702,3798,0.5,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666
25,3300,3298,0.16666666666666666,0.3333333333333333,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26,7968,7959,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.16666666666666666
27,6170,3854,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
28,5245,5244,0.6666666666666666,0.0,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.5
29,5260,685,0.5,0.0,0.5,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666
30,1077,44,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,0.0
31,58,306,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.0,0.3333333333333333,0.0,0.8333333333333334,0.3333333333333333,0.0,0.3333333333333333
32,42,49,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.16666666666666666,0.16666666666666666
33,52,1380,0.5,0.0,0.5,0.6666666666666666,0.0,0.3333333333333333,0.0,0.5,0.3333333333333333,0.0,0.6666666666666666
34,7036,2474,0.16666666666666666,0.5,0.3333333333333333,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5
35,2105,1195,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5,0.5,0.16666666666666666,0.3333333333333333
36,1183,1188,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5,0.0,0.5,0.3333333333333333,0.16666666666666666,0.5,0.0,0.5
37,5492,1308,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.3333333333333333
38,6162,5476,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333
39,3213,3210,0.0,0.8333333333333334,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5
40,7860,6570,0.0,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666
41,5395,1977,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.0,0.3333333333333333
42,5404,7007,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666
43,671,681,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.16666666666666666
44,674,1939,0.3333333333333333,0.0,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666
45,677,3222,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.0,0.3333333333333333,0.3333333333333333
46,675,673,0.8333333333333334,0.16666666666666666,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.5
47,4208,844,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.16666666666666666
48,2195,2194,0.16666666666666666,0.5,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
