,HomeTeam,FTHG_home,HC_home,HF_home,HR_home,HS_home,HST_home,HY_home,LSHW_home,LSHD_home
0,Burnley,-0.439941,-0.411438,0.421476,-0.260469,0.03156,-0.290404,-0.510906,0.2631578947368421,0.21052631578947367
1,Arsenal,0.439941,-0.349272,0.363552,-0.260469,1.022971,0.334238,0.351957,0.7368421052631579,0.15789473684210525
2,Bournemouth,-0.0,0.334549,0.942795,-0.260469,-0.224288,-0.151594,0.351957,0.3157894736842105,0.21052631578947367
3,Brighton,-1.02653,-0.038444,0.363552,-0.260469,-0.512117,-0.637427,-0.223285,0.5263157894736842,0.21052631578947367
4,Everton,-0.293294,-0.535769,-0.331541,-0.260469,-0.28825,-0.498618,-0.367095,0.3157894736842105,0.15789473684210525
5,Sheffield United,-0.293294,-0.224941,-0.099843,0.500902,-0.544098,-0.012785,0.208147,0.2631578947368421,0.3684210526315789
6,Newcastle,0.879883,0.45888,-0.215692,0.500902,0.67118,0.473048,-0.798527,0.5789473684210527,0.3157894736842105
7,Brentford,-0.586588,-0.162775,-0.679087,-0.260469,-0.480136,-0.498618,0.208147,0.5263157894736842,0.3684210526315789
8,Chelsea,1.466471,0.210218,-0.737011,-0.260469,0.703161,1.236499,-0.367095,0.3157894736842105,0.3684210526315789
9,Man United,0.146647,0.210218,-0.563238,-0.260469,0.479294,0.750666,-0.079474,0.7894736842105263,0.15789473684210525
10,Nott'm Forest,-0.146647,-0.287107,0.247703,-0.260469,0.095522,-0.220999,-0.654716,0.42105263157894735,0.3157894736842105
11,Fulham,-0.586588,-0.349272,-0.563238,0.500902,-0.799946,-0.568023,-0.367095,0.42105263157894735,0.2631578947368421
12,Liverpool,0.293294,1.204866,0.595249,-0.260469,2.046363,1.583523,-0.223285,0.6842105263157895,0.2631578947368421
13,Wolves,-0.733236,-0.349272,0.711098,-0.260469,-0.544098,-0.08219,1.21482,0.47368421052631576,0.15789473684210525
14,Tottenham,0.0,0.521045,0.537325,-0.260469,0.063541,-0.012785,0.351957,0.631578947368421,0.05263157894736842
15,Man City,1.173177,0.45888,-1.432103,-0.260469,1.3108,1.514118,-1.086148,0.8947368421052632,0.05263157894736842
16,Aston Villa,0.586588,0.023721,0.247703,-0.260469,-0.416174,-0.429213,0.064336,0.631578947368421,0.10526315789473684
17,West Ham,-0.293294,0.334549,-0.273616,-0.260469,-0.096364,0.126024,-0.510906,0.42105263157894735,0.21052631578947367
18,Crystal Palace,1.319824,-0.597934,0.016005,-0.260469,0.03156,0.681262,-0.079474,0.3684210526315789,0.3684210526315789
19,Luton,-0.293294,-0.10061,0.305627,-0.260469,-0.28825,-0.012785,-0.223285,0.10526315789473684,0.2631578947368421
