,AwayTeam,FTAG_away,AC_away,AF_away,AR_away,AS_away,AST_away,AY_away,LSAW_away,LSAD_away
0,Burnley,0.09485927467321811,-0.31459009043048625,-0.1491472133281146,1.1244751008920226,0.07662691535462589,0.3838117302923964,-0.04551532014296802,0.21052631578947367,0.15789473684210525
1,Arsenal,0.2515832936985349,0.16772094158397705,0.3958137584476881,-0.28808866221200585,0.3330138271072102,0.3045462642537494,-0.33377901438176577,0.631578947368421,0.15789473684210525
2,Bournemouth,-0.532036801428049,0.029917789579844655,0.5048059528028487,0.4181932193400085,0.40626723046509144,-0.17104653197813324,-0.18964716726236688,0.2631578947368421,0.10526315789473684
3,Brighton,-0.6887608204533657,-0.24568851442842013,-0.25813940768327515,-0.28808866221200585,0.7359075455755569,-0.01251559990083903,0.09861652697643083,0.42105263157894735,0.21052631578947367
4,Everton,-0.532036801428049,0.23662251758604316,0.6682942443355895,-0.28808866221200585,-0.6925338199031269,-0.7259047942486629,0.5310120683346276,0.10526315789473684,0.47368421052631576
5,Sheffield United,-0.532036801428049,-0.1078853624242877,-0.3671316020384357,-0.28808866221200585,-0.2530133997558396,-0.5673738621713686,-0.9103064028593613,0.10526315789473684,0.15789473684210525
6,Newcastle,0.5650313317491685,0.09881936558191087,-0.1491472133281146,-0.28808866221200585,0.5161473355019133,0.8594045265242791,0.38688022121522864,0.42105263157894735,0.42105263157894735
7,Brentford,0.5650313317491685,0.4433272455922418,0.23232546691494732,0.4181932193400085,-0.06987989136113656,0.3045462642537494,0.09861652697643081,0.2631578947368421,0.3684210526315789
8,Chelsea,0.2515832936985349,0.029917789579844655,0.014341078204626222,0.4181932193400085,-0.0698798913611366,-0.17104653197813327,0.38688022121522864,0.2631578947368421,0.21052631578947367
9,Man United,0.09485927467321811,-0.4523932424346187,0.17782936973736707,-0.28808866221200585,-0.17975999639795837,-0.32957746405542737,-0.7661745557399625,0.42105263157894735,0.15789473684210525
10,Nott'm Forest,-0.061864744352098676,-0.3145900904304863,-0.3671316020384357,-0.28808866221200585,0.11325361703356651,0.22528079821510225,-0.4779108615011647,0.05263157894736842,0.2631578947368421
11,Fulham,0.40830731272385173,0.8567367016046388,0.17782936973736702,-0.28808866221200585,1.0655478606860225,0.780139060485632,-0.4779108615011648,0.3684210526315789,0.10526315789473684
12,Liverpool,0.40830731272385173,1.1323430056129036,0.12333327255978674,-0.28808866221200585,1.6882017892280128,1.0972009246402203,-0.4779108615011647,0.3157894736842105,0.2631578947368421
13,Wolves,-0.532036801428049,-0.8658026984470159,0.6682942443355895,0.4181932193400085,-0.8390406266188893,-0.7259047942486628,0.3868802212152286,0.10526315789473684,0.2631578947368421
14,Tottenham,-0.21858876337741545,0.16772094158397702,0.06883717538220649,-0.28808866221200585,0.40626723046509144,0.14601533217645518,0.24274837409582967,0.3157894736842105,0.2631578947368421
15,Man City,1.3486514268757523,0.3744256695901755,-1.5115496427676214,-0.28808866221200585,0.22313372207038834,0.8594045265242791,-1.0544382499787603,0.5789473684210527,0.21052631578947367
16,Aston Villa,-0.532036801428049,0.2366225175860431,-0.3671316020384357,-0.28808866221200585,-0.692533819903127,-0.7259047942486629,-0.04551532014296802,0.3157894736842105,0.2631578947368421
17,West Ham,0.09485927467321806,-0.5212948184366849,-0.5851159907487568,-0.28808866221200585,-0.7291605215820675,-0.7259047942486629,-0.33377901438176577,0.15789473684210525,0.15789473684210525
18,Crystal Palace,-0.21858876337741545,-0.1767869384263539,0.3413176612701078,0.4181932193400085,-0.4727736098294832,-0.4088429300940744,-0.4779108615011647,0.21052631578947367,0.2631578947368421
19,Luton,-0.532036801428049,-0.3834916664325525,0.014341078204626222,-0.28808866221200585,-1.1686809417293549,-0.7259047942486628,-0.33377901438176577,0.21052631578947367,0.10526315789473684
